,TENet,ENet
PC467,0.0,0.0
PC468,0.0,0.0
PC469,-1.093310767,0.0
PC470,0.0,0.0
PC471,0.0,0.0
PC472,0.0,0.0
PC473,0.0,0.0
PC474,0.0,0.0
PC475,0.0,0.0
PC476,0.0,0.0
PC477,0.0,0.0
PC478,-0.217854483,0.0
PC479,0.0,0.0
PC480,-1.233714716,0.0
PC481,0.0,0.0
PC482,0.0,0.0
PC483,0.0,0.0
PC484,0.459043573713159,0.0
PC485,0.0,0.0
PC486,0.0,0.0
PC487,0.0,0.0
PC488,0.0,0.0
PC489,2.13146362532841,0.0
PC490,0.083960965,0.0
PC491,0.0,0.0
PC492,0.0,0.0
PC493,0.111652619273337,0.0
PC494,0.0,0.0
PC495,0.859525577,0.0
PC496,0.0,0.0
PC497,0.0,0.0
PC498,0.0,0.0
PC499,-0.988376419,0.0
PC500,0.0,0.0
PC501,0.0,0.0
PC502,0.0,0.0
PC503,0.0,0.0
PC504,-1.996506422,0.0
PC505,0.0,0.0
PC506,0.0,0.0
PC507,-0.780574388,0.0
PC508,0.0,0.0
PC509,0.0,0.0
PC510,0.0,0.0
PC511,0.0,0.0
PC512,0.0,0.0
PC513,0.0,0.0
PC514,0.0,0.0
PC515,0.0,0.0
PC516,0.0,0.0
PC517,0.0,0.0
PC518,0.0,0.0
PC519,0.247125343838658,0.0
PC520,0.0,0.0
PC521,0.0,0.0
PC522,0.0,0.0
PC523,0.0,0.0
PC524,0.0,0.0
PC525,0.0,0.0
PC526,0.0,0.0
PC527,0.852048973522763,0.0
PC528,0.0,0.0
PC529,0.0,0.0
PC530,-0.01905075,0.0
PC531,0.0,0.0
PC532,0.866804068052496,0.0
PC533,-1.306588549,0.0
PC534,-1.001994247,0.0
PC535,0.0,0.0
PC536,0.0,0.0
PC537,0.483231627676733,0.0
PC538,0.0,0.0
PC539,0.549289678,0.0
PC540,0.0,0.0
PC541,0.0,0.0
PC542,0.0,0.0
PC543,0.0,0.0
PC544,0.0,0.0
PC545,-0.255464048,0.0
PC546,0.848468216960265,0.0
PC547,0.0,0.0
PC548,0.0,0.0
PC549,0.0,0.0
PC550,0.0,0.0
PC551,0.0,0.0
PC552,-0.281083471,0.0
PC553,0.0,0.0
PC554,0.0,0.0
PC555,0.0,0.0
PC556,0.978131216447225,0.0
PC557,0.0,0.0
PC558,0.0,0.0
PC559,0.0,0.0
PC560,0.0,0.0
PC561,0.0,0.0
PC562,0.0,0.0
PC563,0.0,0.0
PC564,1.17642566418362,0.0
PC565,0.0,0.0
PC566,0.0,0.0
PC567,0.0,0.0
PC568,0.0,0.0
PC569,0.0461352459120877,0.0
PC570,0.0,0.0
PC571,0.0,0.0
PC572,0.0,0.0
PC573,0.0,0.0
PC574,0.0,0.0
PC575,0.0,0.0
PC576,0.0,0.0
PC577,-0.804637896,0.0
PC578,0.0,0.0
PC579,0.0,0.0
PC580,0.0,0.0
PC581,0.0,0.0
PC582,0.0,0.0
PC583,0.0,0.0
PC584,-1.327346537,0.0
PC585,0.0,0.0
PC586,0.0,0.0
PC587,0.787753478212543,0.0
PC588,0.0,0.0
PC589,0.0,0.0
PC590,-0.01912988,0.0
PC591,0.0,0.0
PC592,0.0,0.0
PC593,0.0,0.0
PC594,-0.977846997,0.0
PC595,0.0,0.0
PC596,0.0,0.0
PC597,1.09497241810856,0.0
PC598,0.0,0.0
PC599,0.0,0.0
PC600,0.0,0.0
PC601,0.0,0.0
PC602,-0.528540015,0.0
PC603,-0.569361203,0.0
PC604,0.843287267613793,0.0
PC605,0.0,0.0
PC606,0.0,0.0
PC607,0.0,0.0
PC608,0.0,0.0
PC609,0.0,0.0
PC610,0.0,0.0
PC611,-1.105029875,0.0
PC612,0.0,0.0
PC613,1.52137616796193,0.0
PC614,-0.562599523,0.0
PC615,0.660820147650151,0.0
PC616,0.0,0.0
PC617,0.0,0.0
PC618,0.0,0.0
PC619,-0.769334178,0.0
PC620,-1.470430854,0.0
PC621,0.0,0.0
PC622,0.0,0.0
PC623,0.056067508,0.0
PC624,0.0,0.0
PC625,0.0,0.0
PC626,0.0,0.0
PC627,0.405750517951361,0.0
PC628,0.0,0.0
PC629,0.0,0.0
PC630,-0.538704755,0.0
PC631,-0.830223534,0.0
PC632,0.0,0.0
PC633,-1.447711583,0.0
PC634,0.0,0.0
PC635,0.716614367223073,0.0
PC636,0.0,0.0
PC637,0.0,0.0
PC638,0.137325857925553,0.0
PC639,0.0,0.0
PC640,0.0,0.0
PC641,0.0,0.0
PC642,0.0,0.0
PC643,0.873443477061203,0.0
PC644,0.345104448603264,0.0
PC645,0.0,0.0
PC646,0.0,0.0
PC647,0.0,0.0
PC648,1.0056971922792,0.0
PC649,0.0,0.0
PC650,0.0,0.0
PC651,0.0,0.0
PC652,0.0,0.0
PC653,-0.751117854,0.0
PC654,0.0,0.0
PC655,-0.86790915,0.0
PC656,0.0,0.0
PC657,-0.184493291,0.0
PC658,-0.302620176,0.0
PC659,0.0,0.0
PC660,0.0,0.0
PC661,0.0,0.0
PC662,0.0,0.0
PC663,0.0,0.0
PC664,0.0,0.0
PC665,0.0,0.0
PC666,0.378271134964873,0.0
PC667,0.0,0.0
PC668,0.0,0.0
PC669,0.0,0.0
PC670,0.0,0.0
PC671,0.0,0.0
PC672,0.0,0.0
PC673,0.0,0.0
PC674,0.0,0.0
PC675,0.0,0.0
PC676,0.0,0.0
PC677,0.0,0.0
PC678,0.0,0.0
PC679,-1.225624539,0.0
PC680,0.0,0.0
PC681,-1.491639182,0.0
PC682,0.880840899884449,0.0
PC683,0.0,0.0
PC684,0.0,0.0
PC685,0.0,0.0
PC686,0.0,0.0
PC687,0.0,0.0
PC688,-0.684374988,0.0
PC689,0.0,0.0
PC690,0.0,0.0
PC691,-0.466373346,0.0
PC692,0.0449538721540859,0.0
PC693,0.0,0.0
PC694,0.0,0.0
PC695,-1.175152146,0.0
PC696,0.0,0.0
PC697,0.0,0.0
PC698,0.0,0.0
PC699,-0.692841452,0.0
PC700,0.0,0.0
PC701,0.0,0.0
PC702,0.0,0.0
PC703,0.0,0.0
PC704,0.0,0.0
PC705,0.0,0.0
PC706,0.0,0.0
PC707,0.0,0.0
PC708,-0.225368037,0.0
PC709,0.0,0.0
PC710,0.0,0.0
PC711,0.0,0.0
PC712,0.0,0.0
PC713,0.0,0.0
PC714,0.0,0.0
PC715,-0.579211377,0.0
PC716,-0.345139829,0.0
PC717,0.0,0.0
PC718,0.0,0.0
PC719,0.0,0.0
PC720,0.0,0.0
PC721,0.0,0.0
PC722,0.0,0.0
PC723,0.0,0.0
PC724,0.969611160670162,0.0
PC725,0.0,0.0
PC726,0.0,0.0
PC727,0.0,0.0
PC728,0.0,0.0
PC729,0.0,0.0
PC730,0.0,0.0
PC731,0.0,0.0
PC732,0.0,0.0
PC733,0.0,0.0
PC734,-0.555294997,0.0
PC735,-0.792101282,0.0
PC736,-0.146219859,0.0
PC737,0.0,0.0
PC738,-0.156312753,0.0
PC739,0.0,0.0
PC740,0.0,0.0
PC741,0.0,0.0
PC742,0.0,0.0
PC743,-0.787532334,0.0
PC744,-1.128541618,0.0
PC745,0.0,0.0
PC746,1.008125744,0.0
PC747,-0.575416401,0.0
PC748,0.0,0.0
PC749,0.0,0.0
PC750,0.0,0.0
PC751,0.0,0.0
PC752,0.0,0.0
PC753,0.0,0.0
PC754,0.0,0.0
PC755,0.0,0.0
PC756,0.0,0.0
PC757,0.0,0.0
PC758,-0.736890712,0.0
PC759,0.0,0.0
PC760,0.0,0.0
PC761,0.0,0.0
PC762,0.0,0.0
PC763,0.0,0.0
PC764,-0.009870937,0.0
PC765,0.0,0.0
PC766,0.0,0.0
PC767,0.0,0.0
PC768,0.0,0.0
PC769,0.0,0.0
PC770,0.0,0.0
PC771,0.0,0.0
PC772,0.094847067,0.0
PC773,0.0,0.0
PC774,0.0,0.0
PC775,0.0,0.0
PC776,0.0,0.0
PC777,0.0,0.0
PC778,0.0,0.0
PC779,0.0,0.0
PC780,0.0,0.0
PC781,0.0,0.0
PC782,0.0,0.0
PC783,0.0,0.0
PC784,0.0,0.0
PC785,0.0,0.0
PC786,-0.810984095,0.0
PC787,0.494772563547477,0.0
PC788,0.829128529309536,0.0
PC789,0.0,0.0
PC790,0.0,0.0
PC791,0.0,0.0
PC792,0.0,0.0
PC793,0.74835765799256,0.0
PC794,0.0,0.0
